Title,Artist,Nationality,Gender,Year,Medium,Classification
Joan Mirí_,Rogi Andrí_(Rozsa Klein),(Hungarian),(Female),1940,Gelatin silver print,Photograph
Andrí_Derain,Rogi Andrí_(Rozsa Klein),(Hungarian),(Female),1940,Gelatin silver print,Photograph
Max Ernst,Rogi Andrí_(Rozsa Klein),(Hungarian),(Female),1940,Gelatin silver print,Photograph
Pablo Picasso,Rogi Andrí_(Rozsa Klein),(Hungarian),(Female),1940,Gelatin silver print,Photograph
Jacques Lipchitz,Rogi Andrí_(Rozsa Klein),(Hungarian),(Female),1940,Gelatin silver print,Photograph
"Ocean, Bolinas, California",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
"Quarry Ruins, Half-Moon Bay Road, California",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
"Barn near Point Reyes, California",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
"Barn, Point Reyes, California",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
"Autumn, Yosemite Valley, California",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
"Autumn, Yosemite Valley",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
"Barn, Stock Gate, Point Reyes, California",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
"Barn Fence, Cape Cod",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
"Church at Bodie, California",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
Leaves,Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
"Barnacles, Cape Cod",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
"Barn, Redwood City, California",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
"Evening, Provincetown, Massachusetts",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
"Tombstone Ornament, San Francisco",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
"Old Houses at Bodie, California",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
"Barnstable, Massachusetts",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
New York,Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
"Old Mill at Chatham, Cape Cod, Massachusetts",Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
Hulls,Ansel Adams,(American),(Male),1940,Gelatin silver print,Photograph
Martha Graham,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
Joseph Sheriden and his Other Self,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
Warner Oland,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
Frida Rivera,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
Roi Partridge,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
Robert B. Irwin,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
Mrs. Elizabeth Champney,Imogen Cunningham,(American),(Female),1940,"Gelatin silver print, printed 1939",Photograph
Torso,Imogen Cunningham,(American),(Female),1940,Palladium print,Photograph
Roi Partridge,Imogen Cunningham,(American),(Female),1940,Platinum print,Photograph
Hands Reading Braille,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
Nude,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
Alfred Stieglitz,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
Glacial Lily,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
Leaf Pattern,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
"Magnolia Blossom, Tower of Jewels",Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
The Bruton Sisters,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
Mr. and Mrs. Ozenfant,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
James Stephens,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
Helene Mayer,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
Jules Romains,Imogen Cunningham,(American),(Female),1940,Gelatin silver print,Photograph
A Holiday Visit,Arnold Genthe,(American),(Male),1940,Gelatin silver print,Photograph
The Street of the Gamblers,Arnold Genthe,(American),(Male),1940,Gelatin silver print,Photograph
The Airing,Arnold Genthe,(American),(Male),1940,Gelatin silver print,Photograph
"Children were the Pride, Joy and Chief Delight of the Quarter",Arnold Genthe,(American),(Male),1940,Gelatin silver print,Photograph
